               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069581,            0.035803,            0.016123,          7.6253e-05,           0.0058043,          3.8836e-05,          1.5509e-05,             0.11185,              5.8045,            0.062842,            0.070508,           0.0032768,           0.0032768
                   1,            0.066361,            0.034381,            0.010287,          0.00033903,            0.079507,          0.00029779,          6.3167e-05,             0.10994,              1.7244,            0.046931,            0.040476,           0.0065774,           0.0065774
                   2,            0.068137,            0.035514,            0.011063,            0.083625,              0.1168,            0.053897,            0.015184,             0.10457,              22.403,            0.057594,             0.01041,           0.0098451,           0.0098451
                   3,            0.069209,            0.035676,            0.012661,             0.37074,             0.17226,            0.020438,           0.0054757,            0.097946,             0.11559,            0.052744,           0.0098515,           0.0098515,           0.0098515
                   4,            0.068967,             0.03418,           0.0094106,             0.38154,             0.20545,            0.037216,           0.0093645,            0.076046,            0.073008,            0.020918,           0.0098515,           0.0098515,           0.0098515
                   5,             0.06702,            0.035179,           0.0084824,             0.24824,             0.36097,             0.22934,            0.068682,            0.064594,            0.052002,           0.0075532,            0.009802,            0.009802,            0.009802
                   6,            0.063945,            0.032739,           0.0068426,               0.551,             0.24373,             0.18855,            0.047386,            0.060148,            0.042144,           0.0047991,           0.0097525,           0.0097525,           0.0097525
                   7,             0.06108,            0.032422,           0.0057774,             0.24449,              0.4607,             0.21171,            0.061524,            0.063535,            0.035973,           0.0034397,            0.009703,            0.009703,            0.009703
                   8,            0.061941,            0.031795,           0.0052043,             0.26369,             0.35075,             0.24679,            0.067198,            0.061907,            0.028974,           0.0050178,           0.0096535,           0.0096535,           0.0096535
                   9,            0.061185,            0.031183,           0.0059456,             0.29211,             0.29692,             0.25788,            0.086264,            0.058359,            0.035607,            0.018443,            0.009604,            0.009604,            0.009604
                  10,            0.060255,            0.030561,           0.0050054,             0.36688,             0.35108,             0.18211,            0.057914,            0.057411,            0.041226,            0.031397,           0.0095545,           0.0095545,           0.0095545
                  11,            0.059316,             0.03083,           0.0049344,             0.28206,             0.23404,             0.15588,            0.046882,            0.066303,            0.033751,           0.0081786,            0.009505,            0.009505,            0.009505
                  12,            0.059289,            0.030001,           0.0045219,             0.24586,             0.34984,             0.20283,            0.063077,            0.064948,             0.03024,           0.0034665,           0.0094555,           0.0094555,           0.0094555
                  13,            0.059226,            0.031252,           0.0042441,             0.38506,             0.55142,             0.39171,             0.14789,            0.058131,             0.02776,           0.0039047,            0.009406,            0.009406,            0.009406
                  14,            0.057518,              0.0303,            0.004279,             0.31361,             0.39326,             0.24158,            0.069216,             0.05787,            0.035962,           0.0074302,           0.0093565,           0.0093565,           0.0093565
                  15,            0.057432,            0.029669,           0.0036928,              0.2714,             0.31026,             0.26514,            0.098321,            0.057218,             0.03947,           0.0091139,            0.009307,            0.009307,            0.009307
                  16,            0.057943,            0.029202,            0.003948,             0.34576,             0.32141,             0.29933,            0.096352,            0.064881,            0.032819,           0.0074156,           0.0092575,           0.0092575,           0.0092575
                  17,            0.057438,            0.030727,           0.0047682,              0.4448,             0.62671,             0.60612,               0.202,            0.049237,            0.033688,           0.0038895,            0.009208,            0.009208,            0.009208
                  18,            0.056309,            0.030232,           0.0043701,             0.68102,             0.36374,             0.51048,             0.19262,            0.050447,            0.030808,           0.0071864,           0.0091585,           0.0091585,           0.0091585
                  19,            0.055972,            0.029417,           0.0041096,             0.37352,              0.6011,             0.43321,             0.14949,            0.052718,            0.029995,           0.0054043,            0.009109,            0.009109,            0.009109
                  20,            0.053184,            0.029491,           0.0032542,             0.50252,             0.39588,             0.41444,             0.14156,            0.056969,            0.032191,           0.0051695,           0.0090595,           0.0090595,           0.0090595
                  21,            0.056517,            0.030128,           0.0031861,             0.28913,             0.44746,             0.41822,             0.12833,            0.067878,             0.03262,           0.0054059,             0.00901,             0.00901,             0.00901
                  22,            0.056526,            0.029615,           0.0037106,             0.39477,             0.39723,             0.33994,             0.11553,            0.054762,            0.037266,           0.0059945,           0.0089605,           0.0089605,           0.0089605
                  23,            0.054743,            0.028982,           0.0032325,             0.37237,             0.44896,             0.37039,             0.12608,             0.05635,            0.032754,            0.002865,            0.008911,            0.008911,            0.008911
                  24,            0.053649,            0.027869,           0.0028413,             0.29926,             0.45621,             0.29796,             0.10272,             0.05732,            0.029161,            0.005078,           0.0088615,           0.0088615,           0.0088615
                  25,            0.055186,            0.028575,           0.0034587,             0.40516,             0.56319,             0.47839,             0.18168,            0.050704,            0.031254,           0.0037337,            0.008812,            0.008812,            0.008812
                  26,            0.053752,              0.0295,           0.0039638,             0.43008,             0.66959,             0.43473,             0.15139,            0.053707,             0.03475,            0.011506,           0.0087625,           0.0087625,           0.0087625
                  27,            0.052118,            0.028907,           0.0034561,             0.46499,             0.64526,             0.54479,             0.19808,            0.046734,            0.028496,           0.0063218,            0.008713,            0.008713,            0.008713
                  28,            0.052392,            0.028487,           0.0031981,             0.43123,             0.53396,             0.45014,             0.12991,            0.055175,            0.029748,            0.001999,           0.0086635,           0.0086635,           0.0086635
                  29,            0.052317,            0.028565,           0.0034347,             0.48935,             0.56124,             0.51864,             0.18198,              0.0509,            0.029218,           0.0082345,            0.008614,            0.008614,            0.008614
                  30,            0.052273,            0.028463,           0.0032212,             0.57321,             0.65272,              0.6603,             0.20976,            0.049177,            0.028613,           0.0018494,           0.0085645,           0.0085645,           0.0085645
                  31,              0.0527,            0.028467,           0.0033191,             0.40484,             0.35712,             0.40635,             0.16073,            0.050395,            0.036694,           0.0050471,            0.008515,            0.008515,            0.008515
                  32,            0.054035,            0.028013,           0.0035698,              0.3331,             0.47829,             0.37711,             0.13254,            0.050167,            0.030075,           0.0039011,           0.0084655,           0.0084655,           0.0084655
                  33,            0.052731,            0.029146,           0.0031125,             0.40073,              0.4231,             0.42892,             0.17026,            0.049257,            0.030125,           0.0036484,            0.008416,            0.008416,            0.008416
                  34,            0.050841,             0.02815,           0.0030608,             0.33585,             0.47447,             0.45429,             0.17617,            0.052873,            0.031084,           0.0072138,           0.0083665,           0.0083665,           0.0083665
                  35,            0.051962,            0.028513,           0.0032048,             0.52776,             0.43257,             0.48102,             0.17885,            0.051557,            0.033934,           0.0050372,            0.008317,            0.008317,            0.008317
                  36,            0.051738,            0.028901,           0.0042287,             0.34229,              0.4066,             0.34393,             0.12646,            0.054343,            0.037728,            0.024658,           0.0082675,           0.0082675,           0.0082675
                  37,            0.052293,            0.029478,           0.0039481,             0.59683,             0.31526,             0.42168,             0.17882,            0.048368,            0.038886,            0.004787,            0.008218,            0.008218,            0.008218
                  38,            0.053223,            0.028936,           0.0037812,             0.64372,             0.42237,             0.50967,             0.20135,            0.047283,            0.029546,           0.0054167,           0.0081685,           0.0081685,           0.0081685
                  39,            0.051856,            0.028486,           0.0036873,                0.62,              0.6647,             0.70183,             0.25583,            0.046299,            0.030152,           0.0035271,            0.008119,            0.008119,            0.008119
                  40,            0.049404,            0.027457,           0.0035559,             0.69151,              0.7411,             0.74945,             0.32644,            0.045092,            0.027658,           0.0022202,           0.0080695,           0.0080695,           0.0080695
                  41,            0.049528,            0.027768,           0.0030393,             0.51672,             0.42273,             0.48199,             0.18198,            0.047837,            0.037954,           0.0029508,             0.00802,             0.00802,             0.00802
                  42,            0.050131,            0.027473,           0.0031085,             0.44025,             0.36452,             0.35544,             0.14268,            0.054439,            0.034602,           0.0076225,           0.0079705,           0.0079705,           0.0079705
                  43,            0.049315,            0.026743,           0.0027994,             0.69263,             0.76975,             0.82943,             0.30461,            0.043557,            0.027721,           0.0023119,            0.007921,            0.007921,            0.007921
                  44,             0.04985,            0.026984,           0.0020859,              0.8564,             0.60405,             0.72001,             0.29435,            0.048378,            0.029996,           0.0023012,           0.0078715,           0.0078715,           0.0078715
                  45,            0.048301,            0.026689,           0.0018623,             0.60649,             0.49184,             0.53912,             0.22685,            0.047093,            0.030309,           0.0019198,            0.007822,            0.007822,            0.007822
                  46,            0.047026,            0.026103,           0.0018344,              0.5842,             0.66262,              0.5774,             0.24855,            0.043936,            0.030704,           0.0037795,           0.0077725,           0.0077725,           0.0077725
                  47,            0.045616,            0.025932,           0.0019108,             0.55113,             0.60814,             0.60468,             0.25215,            0.045956,            0.026266,           0.0017601,            0.007723,            0.007723,            0.007723
                  48,            0.046436,            0.026805,           0.0033425,             0.70572,             0.69532,             0.70335,               0.264,            0.047532,            0.030787,           0.0020684,           0.0076735,           0.0076735,           0.0076735
                  49,            0.049827,            0.027394,           0.0027058,             0.46988,             0.50124,             0.53887,             0.19483,            0.055875,            0.036179,           0.0022289,            0.007624,            0.007624,            0.007624
                  50,            0.047371,            0.026205,           0.0023876,             0.72885,             0.70733,             0.77243,             0.31813,            0.044658,             0.02584,           0.0023957,           0.0075745,           0.0075745,           0.0075745
                  51,            0.049022,            0.026455,           0.0019523,             0.59182,             0.66137,             0.65299,             0.23869,            0.051742,             0.02906,           0.0020169,            0.007525,            0.007525,            0.007525
                  52,            0.047093,            0.025968,           0.0020496,             0.78253,             0.74982,             0.82709,             0.32338,            0.042334,            0.026899,           0.0015578,           0.0074755,           0.0074755,           0.0074755
                  53,            0.047729,            0.026696,           0.0025718,              0.6549,             0.68004,             0.72267,             0.25563,            0.049871,            0.027177,           0.0017287,            0.007426,            0.007426,            0.007426
                  54,               0.047,            0.026305,           0.0021626,             0.61838,             0.74821,             0.72588,             0.28417,            0.044806,            0.028954,           0.0020633,           0.0073765,           0.0073765,           0.0073765
                  55,            0.044939,            0.025696,           0.0019614,             0.61531,             0.45554,             0.54486,              0.2378,            0.044358,            0.028107,           0.0018567,            0.007327,            0.007327,            0.007327
                  56,             0.04544,            0.025766,           0.0015953,             0.75031,             0.69451,             0.80698,             0.31977,            0.043436,            0.035735,           0.0021356,           0.0072775,           0.0072775,           0.0072775
                  57,            0.049037,            0.025981,           0.0016317,             0.51002,             0.59186,             0.61108,             0.24439,            0.047416,            0.030125,           0.0030248,            0.007228,            0.007228,            0.007228
                  58,            0.047294,            0.025929,           0.0017861,             0.59716,             0.57453,             0.65699,             0.25307,            0.049607,            0.032166,           0.0051517,           0.0071785,           0.0071785,           0.0071785
                  59,            0.044282,            0.026077,           0.0025856,             0.72101,              0.7332,             0.78111,             0.33093,            0.041511,            0.027048,           0.0022966,            0.007129,            0.007129,            0.007129
                  60,             0.04483,            0.026543,           0.0019746,              0.7177,               0.758,             0.81785,             0.33642,            0.043902,            0.028449,           0.0015263,           0.0070795,           0.0070795,           0.0070795
                  61,            0.045043,            0.026055,           0.0018075,             0.59524,              0.6851,             0.70987,             0.24143,            0.048623,            0.031502,           0.0020907,             0.00703,             0.00703,             0.00703
                  62,            0.044752,            0.025745,           0.0034501,             0.69128,             0.72661,             0.77773,             0.29343,            0.040485,            0.027308,           0.0019835,           0.0069805,           0.0069805,           0.0069805
                  63,            0.047035,            0.026373,           0.0024911,              0.6949,             0.68542,             0.71234,             0.24963,            0.046136,            0.030466,           0.0023673,            0.006931,            0.006931,            0.006931
                  64,            0.048036,            0.025883,           0.0019342,             0.57807,             0.78263,             0.64294,             0.24428,            0.054568,            0.025775,            0.001906,           0.0068815,           0.0068815,           0.0068815
                  65,            0.046582,            0.025255,           0.0018625,              0.6434,             0.72296,             0.76332,             0.32045,            0.046417,            0.026741,            0.005335,            0.006832,            0.006832,            0.006832
                  66,            0.046768,            0.025628,           0.0016251,             0.62812,             0.73056,             0.68165,             0.24367,            0.054585,            0.027297,           0.0020461,           0.0067825,           0.0067825,           0.0067825
                  67,            0.045693,            0.025567,            0.001542,             0.80937,             0.76934,              0.8109,             0.33876,            0.041379,             0.03089,           0.0013572,            0.006733,            0.006733,            0.006733
                  68,            0.044563,            0.025139,           0.0017899,             0.82956,             0.78869,             0.85717,              0.3698,            0.041379,            0.025077,           0.0016697,           0.0066835,           0.0066835,           0.0066835
                  69,            0.043211,            0.025289,           0.0016613,             0.58638,             0.63059,             0.63701,             0.26359,             0.04445,             0.02578,           0.0010716,            0.006634,            0.006634,            0.006634
                  70,             0.04437,            0.024673,           0.0014136,             0.66717,             0.72983,             0.75266,             0.30921,            0.040481,            0.030244,          0.00086892,           0.0065845,           0.0065845,           0.0065845
                  71,            0.043888,            0.024903,           0.0016215,             0.82733,             0.73989,             0.84327,             0.34562,            0.041945,            0.027176,           0.0017033,            0.006535,            0.006535,            0.006535
                  72,             0.04322,            0.024604,           0.0017768,             0.64029,             0.63477,              0.7259,             0.31634,            0.040183,            0.033246,           0.0027311,           0.0064855,           0.0064855,           0.0064855
                  73,            0.045658,            0.025199,           0.0017255,             0.63539,             0.65752,             0.71558,             0.29957,            0.045558,            0.032768,           0.0020234,            0.006436,            0.006436,            0.006436
                  74,            0.044788,            0.025026,            0.001737,             0.80372,             0.63459,             0.74497,             0.30675,            0.045197,            0.026392,           0.0025373,           0.0063865,           0.0063865,           0.0063865
                  75,            0.042336,             0.02438,           0.0015244,             0.80691,             0.83218,             0.84745,             0.35382,            0.040429,            0.026752,           0.0012306,            0.006337,            0.006337,            0.006337
                  76,            0.042154,            0.024308,           0.0014079,             0.66273,             0.70284,             0.65533,             0.26954,            0.042686,             0.02884,           0.0016281,           0.0062875,           0.0062875,           0.0062875
                  77,             0.04434,            0.024596,           0.0014226,             0.80621,             0.73162,               0.829,             0.34491,            0.043278,            0.027543,           0.0021747,            0.006238,            0.006238,            0.006238
                  78,            0.044092,            0.025472,           0.0027702,             0.62805,             0.65511,             0.67991,             0.23366,            0.050642,            0.026517,           0.0049253,           0.0061885,           0.0061885,           0.0061885
                  79,            0.044021,            0.025835,           0.0029021,             0.92358,             0.57443,             0.65742,             0.26723,             0.04893,            0.029103,           0.0041327,            0.006139,            0.006139,            0.006139
                  80,            0.043607,            0.025618,           0.0022491,             0.61295,             0.65396,             0.64336,             0.23721,            0.049072,            0.039376,           0.0018793,           0.0060895,           0.0060895,           0.0060895
                  81,            0.043918,             0.02547,           0.0019881,             0.83117,             0.61682,             0.67758,             0.26981,            0.041607,            0.028831,           0.0027903,             0.00604,             0.00604,             0.00604
                  82,            0.043921,            0.024847,           0.0022185,              0.7383,             0.74255,             0.78909,              0.2719,            0.044659,            0.030587,           0.0014712,           0.0059905,           0.0059905,           0.0059905
                  83,            0.042735,            0.025016,            0.001278,             0.85466,             0.76306,             0.85292,             0.37177,            0.040249,            0.026737,           0.0019656,            0.005941,            0.005941,            0.005941
                  84,            0.043189,            0.024621,           0.0016363,               0.742,             0.66897,             0.73305,             0.30426,            0.044296,            0.035654,           0.0034349,           0.0058915,           0.0058915,           0.0058915
                  85,            0.044042,            0.024402,           0.0016534,             0.61003,             0.69319,             0.65843,              0.2707,            0.044886,            0.025755,            0.002169,            0.005842,            0.005842,            0.005842
                  86,              0.0437,            0.024293,           0.0013279,             0.88608,             0.78203,             0.83708,             0.35095,             0.04118,            0.025956,           0.0014922,           0.0057925,           0.0057925,           0.0057925
                  87,            0.041435,            0.024217,           0.0014541,             0.82795,             0.80782,              0.8587,             0.39035,             0.03777,            0.025893,           0.0012918,            0.005743,            0.005743,            0.005743
                  88,            0.041796,            0.023614,           0.0012047,             0.70516,             0.71011,             0.73778,             0.32534,            0.039697,            0.026258,           0.0016692,           0.0056935,           0.0056935,           0.0056935
                  89,            0.043622,            0.024112,           0.0014049,              0.7087,             0.62005,             0.70182,             0.27733,            0.044074,            0.025849,           0.0023545,            0.005644,            0.005644,            0.005644
                  90,            0.043315,            0.024061,            0.001403,             0.82491,             0.76401,             0.84999,             0.35125,            0.039666,            0.029512,           0.0023477,           0.0055945,           0.0055945,           0.0055945
                  91,            0.041191,            0.024123,           0.0016348,             0.57436,             0.58124,             0.60261,             0.25143,            0.044281,            0.031167,           0.0024106,            0.005545,            0.005545,            0.005545
                  92,            0.040981,            0.023726,           0.0012836,             0.75012,             0.72697,             0.80977,             0.32715,            0.042462,            0.030078,            0.002263,           0.0054955,           0.0054955,           0.0054955
                  93,            0.042247,            0.023785,           0.0013261,             0.73171,              0.7355,             0.76402,             0.33537,            0.041511,            0.028251,           0.0012098,            0.005446,            0.005446,            0.005446
                  94,            0.041855,             0.02418,           0.0010568,             0.67085,             0.72043,             0.68209,             0.27061,            0.045379,            0.027656,           0.0014324,           0.0053965,           0.0053965,           0.0053965
                  95,            0.041746,            0.023657,           0.0013439,             0.84769,             0.57118,             0.76157,             0.31176,            0.039042,            0.027373,           0.0037391,            0.005347,            0.005347,            0.005347
                  96,            0.042288,            0.023537,           0.0013816,             0.73029,             0.76713,             0.78242,             0.32868,            0.041794,            0.026994,           0.0013191,           0.0052975,           0.0052975,           0.0052975
                  97,            0.042261,            0.023551,           0.0013052,             0.87553,             0.79758,             0.89872,             0.37016,            0.040505,            0.025067,           0.0015102,            0.005248,            0.005248,            0.005248
                  98,            0.041777,            0.023742,           0.0011486,             0.82453,             0.73207,             0.80584,             0.31584,            0.043716,             0.02529,           0.0013036,           0.0051985,           0.0051985,           0.0051985
